rank,final_worth_usd,person_name,age,country,country_of_citizenship,city,industries,wealth_source,gender,life_expectancy_country,gross_tertiary_education_enrollment_country,gross_primary_education_enrollment_country,gdp_country_usd,total_tax_rate_country,population_country,final_worth_usd_formatted
299,7500000000,Henry Kravis,79.0,United States,United States,New York,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.5B
299,7500000000,Zhang Yong,52.0,Singapore,Singapore,Singapore,Food & Beverage,Self-Made,M,83.1,84.8,100.6,372062527489.0,21.0,5703569.0,7.5B
305,7400000000,James Goodnight,80.0,United States,United States,Cary,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.4B
305,7400000000,Sri Prakash Lohia,70.0,United Kingdom,Indonesia,London,Manufacturing,Inherited/Unearned,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,7.4B
305,7400000000,Ma Jianrong,59.0,China,China,Ningbo,Fashion & Retail,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.4B
305,7400000000,Robert Ng,71.0,Singapore,Singapore,Singapore,Real Estate,Inherited/Unearned,M,83.1,84.8,100.6,372062527489.0,21.0,5703569.0,7.4B
305,7400000000,Steven Rales,72.0,United States,United States,Santa Barbara,Manufacturing,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.4B
305,7400000000,Nassef Sawiris,62.0,Egypt,Egypt,Cairo,Construction & Engineering,Inherited/Unearned,M,71.8,35.2,106.3,303175127598.0,44.4,100388073.0,7.4B
305,7400000000,Harry Stine,81.0,United States,United States,Adel,Food & Beverage,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.4B
312,7300000000,Benu Gopal Bangur,91.0,India,India,Kolkata,Manufacturing,Inherited/Unearned,M,69.4,28.1,113.0,2611000000000.0,49.7,1366417754.0,7.3B
312,7300000000,Iskander Makhmudov,59.0,Russia,Russia,Moscow,Metals & Mining,Self-Made,M,72.7,81.9,102.6,1699876578871.0,46.2,144373535.0,7.3B
312,7300000000,Anders Holch Povlsen,50.0,Denmark,Denmark,Aarhus,Fashion & Retail,Inherited/Unearned,M,81.0,80.6,101.3,348078018464.0,23.8,5818553.0,7.3B
312,7300000000,Enrique Razon Jr.,63.0,Philippines,Philippines,Manila,Logistics,Inherited/Unearned,M,71.1,35.5,107.5,376795508680.0,43.1,108116615.0,7.3B
312,7300000000,Wang Laichun,55.0,China,Hong Kong,Shenzhen,Technology,Self-Made,F,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.3B
317,7200000000,Arthur Dantchik,65.0,United States,United States,Gladwyne,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.2B
317,7200000000,Jeff Greene,68.0,United States,United States,Palm Beach,Real Estate,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.2B
317,7200000000,Don Hankey,79.0,United States,United States,Malibu,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.2B
317,7200000000,Richard Kinder,78.0,United States,United States,Houston,Energy,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.2B
317,7200000000,Guillaume Pousaz,41.0,United Arab Emirates,Switzerland,Dubai,Finance & Investments,Self-Made,M,77.8,36.8,108.4,421142267938.0,15.9,9770529.0,7.2B
317,7200000000,Takahisa Takahara,61.0,Japan,Japan,Tokyo,Fashion & Retail,Inherited/Unearned,M,84.2,63.2,98.8,5081769542380.0,46.7,126226568.0,7.2B
317,7200000000,Zong Qinghou,77.0,China,China,Hangzhou,Food & Beverage,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.2B
325,7100000000,Judy Faulkner,79.0,United States,United States,Madison,Technology,Self-Made,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.1B
325,7100000000,Johann Graf,76.0,Austria,Austria,Vienna,Gambling & Casinos,Self-Made,M,81.6,85.1,103.1,446314739528.0,51.4,8877067.0,7.1B
325,7100000000,Tamara Gustavson,61.0,United States,United States,Lexington,Service,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.1B
325,7100000000,Liang Wengen,66.0,China,China,Changsha,Manufacturing,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.1B
325,7100000000,Frederik Paulsen,72.0,Switzerland,Sweden,Lausanne,Healthcare,Inherited/Unearned,M,83.6,59.6,105.2,703082435360.0,28.8,8574832.0,7.1B
325,7100000000,Wee Cho Yaw,94.0,Singapore,Singapore,Singapore,Finance & Investments,Inherited/Unearned,M,83.1,84.8,100.6,372062527489.0,21.0,5703569.0,7.1B
325,7100000000,Zhang Hejun,71.0,China,China,Ningbo,Manufacturing,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,7.1B
332,7000000000,Marc Benioff,58.0,United States,United States,San Francisco,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.0B
332,7000000000,Dmitri Bukhman,37.0,United Kingdom,Israel,London,Media & Entertainment,Self-Made,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,7.0B
332,7000000000,Igor Bukhman,41.0,United Kingdom,Israel,London,Media & Entertainment,Self-Made,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,7.0B
332,7000000000,Jack Dangermond,77.0,United States,United States,Redlands,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.0B
332,7000000000,Ashwin Dani & family,80.0,India,India,Mumbai,Manufacturing,Inherited/Unearned,M,69.4,28.1,113.0,2611000000000.0,49.7,1366417754.0,7.0B
332,7000000000,Ralph Lauren,83.0,United States,United States,New York,Fashion & Retail,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.0B
332,7000000000,Rohiqa Cyrus Mistry,55.0,India,India,Mumbai,Diversified,Inherited/Unearned,F,69.4,28.1,113.0,2611000000000.0,49.7,1366417754.0,7.0B
332,7000000000,Shapoor Mistry,58.0,India,Ireland,Mumbai,Diversified,Inherited/Unearned,M,69.4,28.1,113.0,2611000000000.0,49.7,1366417754.0,7.0B
332,7000000000,J. Christopher Reyes,69.0,United States,United States,Hobe Sound,Food & Beverage,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.0B
332,7000000000,Jude Reyes,67.0,United States,United States,Palm Beach,Food & Beverage,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.0B
332,7000000000,Don Vultaggio & family,71.0,United States,United States,Port Washington,Food & Beverage,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,7.0B
344,6900000000,Edythe Broad & family,87.0,United States,United States,Los Angeles,Diversified,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.9B
344,6900000000,Pauline MacMillan Keinath,89.0,United States,United States,St. Louis,Food & Beverage,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.9B
344,6900000000,Philippe Laffont,55.0,United States,United States,New York,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.9B
344,6900000000,Liu Jincheng & family,58.0,China,China,Huizhou,Technology,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.9B
344,6900000000,Igor Olenicoff,80.0,United States,United States,Lighthouse Point,Real Estate,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.9B
344,6900000000,Sandra Ortega Mera,54.0,Spain,Spain,La Coruna,Fashion & Retail,Inherited/Unearned,F,83.3,88.9,102.7,1394116310769.0,47.0,47076781.0,6.9B
344,6900000000,Ronda Stryker,68.0,United States,United States,Portage,Healthcare,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.9B
352,6800000000,Dannine Avara,59.0,United States,United States,Houston,Energy,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
352,6800000000,Silvio Berlusconi & family,86.0,Italy,Italy,Milan,Diversified,Self-Made,M,82.9,61.9,101.9,2001244392042.0,59.1,60297396.0,6.8B
352,6800000000,Denise Coates,55.0,United Kingdom,United Kingdom,Stoke-on-Trent,Gambling & Casinos,Self-Made,F,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,6.8B
352,6800000000,Scott Duncan,40.0,United States,United States,Houston,Energy,Inherited/Unearned,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
352,6800000000,Milane Frantz,53.0,United States,United States,Houston,Energy,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
352,6800000000,"Edward Johnson, IV.",58.0,United States,United States,Boston,Finance & Investments,Inherited/Unearned,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
352,6800000000,Yuri Milner,61.0,United States,Israel,Los Altos,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
352,6800000000,Gordon Moore,94.0,United States,United States,Woodside,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
352,6800000000,John Overdeck,53.0,United States,United States,Millburn,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
352,6800000000,David Siegel,61.0,United States,United States,Scarsdale,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
352,6800000000,Viktor Vekselberg,65.0,Russia,Russia,Moscow,Diversified,Self-Made,M,72.7,81.9,102.6,1699876578871.0,46.2,144373535.0,6.8B
352,6800000000,Wang Laisheng,58.0,China,Hong Kong,Shenzhen,Technology,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.8B
352,6800000000,Randa Duncan Williams,61.0,United States,United States,Houston,Energy,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.8B
365,6700000000,Ken Fisher,72.0,United States,United States,Dallas,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.7B
365,6700000000,Christopher Hohn,56.0,United Kingdom,United Kingdom,London,Finance & Investments,Self-Made,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,6.7B
365,6700000000,Kjeld Kirk Kristiansen,75.0,Denmark,Denmark,Billund,Manufacturing,Inherited/Unearned,M,81.0,80.6,101.3,348078018464.0,23.8,5818553.0,6.7B
365,6700000000,Sofie Kirk Kristiansen,47.0,Denmark,Denmark,Billund,Manufacturing,Inherited/Unearned,F,81.0,80.6,101.3,348078018464.0,23.8,5818553.0,6.7B
365,6700000000,Thomas Kirk Kristiansen,44.0,Denmark,Denmark,Billund,Manufacturing,Inherited/Unearned,M,81.0,80.6,101.3,348078018464.0,23.8,5818553.0,6.7B
365,6700000000,Massimiliana Landini Aleotti & family,80.0,Italy,Italy,Fiesole,Healthcare,Inherited/Unearned,F,82.9,61.9,101.9,2001244392042.0,59.1,60297396.0,6.7B
365,6700000000,Li Ping,55.0,China,Hong Kong,Ningde,Automotive,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.7B
365,6700000000,Lin Jianhua,60.0,China,China,Hangzhou,Manufacturing,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.7B
365,6700000000,Magdalena Martullo-Blocher,54.0,Switzerland,Switzerland,Feldmeilen,Manufacturing,Inherited/Unearned,F,83.6,59.6,105.2,703082435360.0,28.8,8574832.0,6.7B
365,6700000000,Xavier Niel,55.0,France,France,Paris,Telecom,Self-Made,M,82.5,65.6,102.5,2715518274227.0,60.7,67059887.0,6.7B
365,6700000000,Terrence Pegula,72.0,United States,United States,Boca Raton,Energy,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.7B
365,6700000000,"Edward Roski, Jr.",84.0,United States,United States,Los Angeles,Real Estate,Inherited/Unearned,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.7B
365,6700000000,John A. Sobrato & family,83.0,United States,United States,Atherton,Real Estate,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.7B
365,6700000000,George Soros,92.0,United States,United States,Katonah,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.7B
365,6700000000,David Sun,71.0,United States,United States,Irvine,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.7B
365,6700000000,Agnete Kirk Thinggaard,39.0,Denmark,Denmark,Billund,Manufacturing,Inherited/Unearned,F,81.0,80.6,101.3,348078018464.0,23.8,5818553.0,6.7B
365,6700000000,John Tu,81.0,United States,United States,Rolling Hills,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.7B
365,6700000000,Xu Shihui,65.0,China,China,Quanzhou,Food & Beverage,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.7B
383,6600000000,Rahel Blocher,47.0,Switzerland,Switzerland,Wilen bei Wollerau,Manufacturing,Inherited/Unearned,F,83.6,59.6,105.2,703082435360.0,28.8,8574832.0,6.6B
383,6600000000,Bubba Cathy,68.0,United States,United States,Atlanta,Food & Beverage,Inherited/Unearned,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.6B
383,6600000000,Dan Cathy,70.0,United States,United States,Atlanta,Food & Beverage,Inherited/Unearned,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.6B
383,6600000000,Trudy Cathy White,67.0,United States,United States,Hampton,Food & Beverage,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.6B
383,6600000000,Bruce Kovner,78.0,United States,United States,New York,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.6B
383,6600000000,"Henry Nicholas, III.",63.0,United States,United States,Newport Coast,Technology,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.6B
383,6600000000,Nadia Thiele,47.0,Germany,Germany,Munich,Finance & Investments,Inherited/Unearned,F,80.9,70.2,104.0,3845630030824.0,48.8,83132799.0,6.6B
390,6500000000,David Bonderman,80.0,United States,United States,Fort Worth,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.5B
390,6500000000,Melinda French Gates,58.0,United States,United States,Medina,Technology,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.5B
390,6500000000,Annette Lerner & family,93.0,United States,United States,Chevy Chase,Real Estate,Inherited/Unearned,F,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.5B
390,6500000000,David Reuben,84.0,United Kingdom,United Kingdom,London,Real Estate,Self-Made,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,6.5B
390,6500000000,Radovan Vitek,51.0,Switzerland,Czech Republic,Crans Montana,Real Estate,Self-Made,M,83.6,59.6,105.2,703082435360.0,28.8,8574832.0,6.5B
397,6400000000,Carl Bennet,71.0,Sweden,Sweden,Gothenberg,Finance & Investments,Self-Made,M,82.5,67.0,126.6,530832908738.0,49.1,10285453.0,6.4B
397,6400000000,Stephen Bisciotti,62.0,United States,United States,Hobe Sound,Sports,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.4B
397,6400000000,Stanley Druckenmiller,69.0,United States,United States,New York,Finance & Investments,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.4B
397,6400000000,Jian Jun,59.0,China,China,Beijing,Healthcare,Self-Made,F,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.4B
397,6400000000,Alexei Kuzmichev,60.0,France,Russia,Paris,Energy,Self-Made,M,82.5,65.6,102.5,2715518274227.0,60.7,67059887.0,6.4B
397,6400000000,Luis Carlos Sarmiento,90.0,Colombia,Colombia,Bogota,Finance & Investments,Self-Made,M,77.1,55.3,114.5,323802808108.0,71.2,50339443.0,6.4B
397,6400000000,Dennis Washington,88.0,United States,United States,Missoula,Logistics,Self-Made,M,78.5,88.2,101.8,21427700000000.0,36.6,328239523.0,6.4B
405,6300000000,Anthony Bamford & family,77.0,United Kingdom,United Kingdom,Gloucestershire,Construction & Engineering,Inherited/Unearned,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,6.3B
405,6300000000,Gao Jifan & family,58.0,China,China,Changzhou,Energy,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.3B
405,6300000000,John Grayken,66.0,United Kingdom,Ireland,London,Finance & Investments,Self-Made,M,81.3,60.0,101.2,2827113184696.0,30.6,66834405.0,6.3B
405,6300000000,Alain Merieux & family,85.0,France,France,Lyon,Healthcare,Inherited/Unearned,M,82.5,65.6,102.5,2715518274227.0,60.7,67059887.0,6.3B
405,6300000000,Wang Yusuo & family,59.0,China,China,Langfang,Energy,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.3B
405,6300000000,Stef Wertheimer & family,96.0,Israel,Israel,Tel Aviv,Manufacturing,Self-Made,M,82.8,63.4,104.9,395098666122.0,25.3,9053300.0,6.3B
411,6200000000,Maria Asuncion Aramburuzabala & family,59.0,Mexico,Mexico,Mexico City,Food & Beverage,Inherited/Unearned,F,75.0,40.2,105.8,1258286717125.0,55.1,126014024.0,6.2B
411,6200000000,Gustaf Douglas,85.0,Sweden,Sweden,Stockholm,Diversified,Self-Made,M,82.5,67.0,126.6,530832908738.0,49.1,10285453.0,6.2B
411,6200000000,Frits Goldschmeding,89.0,Netherlands,Netherlands,Amsterdam,Service,Self-Made,M,81.8,85.0,104.2,909070395161.0,41.2,17332850.0,6.2B
411,6200000000,Lin Muqin & family,59.0,China,China,Shenzhen,Food & Beverage,Self-Made,M,77.0,50.6,100.2,19910000000000.0,59.2,1397715000.0,6.2B
