rank,finalWorth,personName,age,country,city,industries,selfMade,status,gender,life_expectancy_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,gdp_country,total_tax_rate_country,population_country
124,14200,Aliko Dangote,65.0,Nigeria,Lagos,Manufacturing,True,U,M,54.3,10.2,84.7,"$448,120,428,859 ",34.8,200963599.0
127,14000,Idan Ofer,67.0,United Kingdom,London,Diversified,False,U,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
128,13900,Chen Bang,57.0,China,Changsha,Healthcare,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
130,13700,John Fredriksen,78.0,United Kingdom,London,Logistics,True,U,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
130,13700,Diane Hendricks,76.0,United States,Afton,Construction & Engineering,True,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
130,13700,Jan Koum,47.0,United States,Atherton,Technology,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
133,13300,Jerry Jones,80.0,United States,Dallas,Sports,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
133,13300,George Kaiser,80.0,United States,Tulsa,Energy,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
136,13200,Lu Xiangyang,60.0,China,Guangzhou,Automotive,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
137,13100,Harry Triguboff,90.0,Australia,Sydney,Real Estate,True,U,M,82.7,113.1,100.3,"$1,392,680,589,329 ",47.4,25766605.0
138,12900,Uday Kotak,64.0,India,Mumbai,Finance & Investments,True,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
138,12900,Stanley Kroenke,75.0,United States,Electra,Sports,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
140,12600,Mikhail Fridman,58.0,United Kingdom,London,Energy,True,U,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
141,12300,Sarath Ratanavadi,57.0,Thailand,Bangkok,Energy,True,U,M,76.9,49.3,99.8,"$543,649,976,166 ",29.5,69625582.0
142,12200,Dang Yanbao,50.0,China,Yinchuan,Metals & Mining,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
142,12200,Jiang Rensheng & family,69.0,China,Chongqing,Healthcare,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
144,12100,Shahid Khan,72.0,United States,Naples,Automotive,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
145,12000,Laurene Powell Jobs & family,59.0,United States,Palo Alto,Technology,False,D,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
147,11600,Stephen Ross,82.0,United States,New York,Real Estate,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
148,11500,Pavel Durov,38.0,United Arab Emirates,Dubai,Technology,True,D,M,77.8,36.8,108.4,"$421,142,267,938 ",15.9,9770529.0
148,11500,Andreas Struengmann & family,73.0,Germany,Tegernsee,Healthcare,True,D,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
148,11500,Thomas Struengmann & family,73.0,Germany,Tegernsee,Healthcare,True,D,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
151,11400,Liu Hanyuan,59.0,China,Chengdu,Food & Beverage,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
151,11400,Michael Rubin,50.0,United States,Bryn Mawr,Fashion & Retail,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
153,11300,Israel Englander,74.0,United States,New York,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
153,11300,Viatcheslav Kantor,69.0,Israel,Herzliya,Manufacturing,True,U,M,82.8,63.4,104.9,"$395,098,666,122 ",25.3,9053300.0
153,11300,Anthony Pratt,62.0,Australia,Melbourne,Manufacturing,False,D,M,82.7,113.1,100.3,"$1,392,680,589,329 ",47.4,25766605.0
153,11300,Mikhail Prokhorov,57.0,Switzerland,Frauenfeld,Finance & Investments,True,U,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
157,11100,Giorgio Armani,88.0,Italy,Milan,Fashion & Retail,True,U,M,82.9,61.9,101.9,"$2,001,244,392,042 ",59.1,60297396.0
157,11100,Johann Rupert & family,72.0,South Africa,Cape Town,Fashion & Retail,False,U,M,63.9,22.4,100.9,"$351,431,649,241 ",29.2,58558270.0
159,11000,Zhang Zhidong,51.0,China,Shenzhen,Technology,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
161,10900,Philip Anschutz,83.0,United States,Denver,Finance & Investments,False,E,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
161,10900,Judy Love & family,85.0,United States,Oklahoma City,Fashion & Retail,True,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
161,10900,Ricardo Salinas Pliego & family,67.0,Mexico,Mexico City,Fashion & Retail,False,D,M,75.0,40.2,105.8,"$1,258,286,717,125 ",55.1,126014024.0
164,10700,Donald Newhouse,93.0,United States,New York,Media & Entertainment,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
165,10600,Robert Kraft,81.0,United States,Brookline,Sports,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
165,10600,Marcel Herrmann Telles,73.0,Brazil,Sao Paulo,Food & Beverage,True,U,M,75.7,51.3,115.4,"$1,839,758,040,766 ",65.1,212559417.0
167,10500,Suleiman Kerimov & family,57.0,Russia,Moscow,Finance & Investments,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
167,10500,Sky Xu,39.0,China,Guangzhou,Fashion & Retail,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
167,10500,Changpeng Zhao,45.0,United Arab Emirates,Dubai,Finance & Investments,True,D,M,77.8,36.8,108.4,"$421,142,267,938 ",15.9,9770529.0
170,10300,Andrew Beal,70.0,United States,Dallas,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
171,10200,Mike Cannon-Brookes,43.0,Australia,Sydney,Technology,True,D,M,82.7,113.1,100.3,"$1,392,680,589,329 ",47.4,25766605.0
171,10200,Carl Cook,60.0,United States,Bloomington,Healthcare,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
171,10200,David Duffield,82.0,United States,Incline Village,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
171,10200,Jeffery Hildebrand,64.0,United States,Houston,Energy,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
171,10200,Viktor Rashnikov,74.0,Russia,Magnitogorsk,Manufacturing,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
171,10200,Eduardo Saverin,41.0,Singapore,Singapore,Technology,True,D,M,83.1,84.8,100.6,"$372,062,527,489 ",21.0,5703569.0
171,10200,Georg Schaeffler,58.0,Germany,Herzogenaurach,Automotive,False,U,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
171,10200,Christy Walton,74.0,United States,Jackson,Fashion & Retail,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
179,10100,Scott Farquhar,43.0,Australia,Sydney,Technology,True,D,M,82.7,113.1,100.3,"$1,392,680,589,329 ",47.4,25766605.0
179,10100,Quek Leng Chan,81.0,Malaysia,Kuala Lumpur,Diversified,False,D,M,76.0,45.1,105.3,"$364,701,517,788 ",38.7,32447385.0
179,10100,Wu Yajun,59.0,China,Beijing,Real Estate,True,D,F,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
182,10000,Autry Stephens,85.0,United States,Midland,Energy,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
183,9900,Liu Yongxing,74.0,China,Shanghai,Service,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
184,9800,Vinod Adani,74.0,United Arab Emirates,Dubai,Diversified,True,Split Family Fortune,M,77.8,36.8,108.4,"$421,142,267,938 ",15.9,9770529.0
184,9800,Nicolas Puech,80.0,Switzerland,Martigny,Fashion & Retail,False,U,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
184,9800,"Jacques Saadé, Jr.",51.0,France,Marseille,Logistics,False,Split Family Fortune,M,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
184,9800,Rodolphe Saadé,53.0,France,Marseille,Logistics,False,Split Family Fortune,M,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
184,9800,Tanya Saadé Zeenny,55.0,France,Marseille,Logistics,False,Split Family Fortune,F,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
184,9800,Melker Schorling & family,75.0,Sweden,Stockholm,Finance & Investments,True,D,M,82.5,67.0,126.6,"$530,832,908,738 ",49.1,10285453.0
190,9700,Andrei Guriev & family,63.0,Russia,Moscow,Manufacturing,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
190,9700,Michael Kim,59.0,South Korea,Seoul,Finance & Investments,True,U,M,82.6,94.3,98.1,"$2,029,000,000,000 ",33.2,51709098.0
190,9700,Lei Jun,53.0,China,Beijing,Technology,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
190,9700,Friedhelm Loh,76.0,Germany,Haiger,Manufacturing,False,U,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
190,9700,Sun Piaoyang,64.0,China,Lianyungang,Healthcare,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
195,9600,Rick Cohen & family,70.0,United States,Keene,Technology,False,N,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
195,9600,Jin Baofang,70.0,China,Xingtai,Energy,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
195,9600,Luo Liguo & family,67.0,China,Ningbo,Manufacturing,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
